X,Y_Ori,94_Loclizer_deviation/dot,Y_hou,Y1,Y
14252.46964,-0.010721609,-0.0025,-0.01304332,0.01054332,0.01054332
14250.57313,-0.017572367,-0.0101,-0.021377575,0.011277575,0.011277575
14249.90724,-0.006209906,0.005,-0.00755463,0.01255463,0.01255463
14249.21247,-0.006636234,0,-0.008073277,0.008073277,0.008073277
14248.54237,-0.003828359,0.005,-0.004657371,0.009657371,0.009657371
14246.71239,-0.012141999,-0.0025,-0.014771288,0.012271288,0.012271288
14246.19976,0.000580876,0.0126,0.000706662,0.011893338,0.011893338
14244.20017,-0.022430864,-0.0176,-0.027288156,0.009688156,0.009688156
14242.49468,-0.0135491,-0.005,-0.01648309,0.01148309,0.01148309
14241.92199,-0.006160774,0,-0.007494859,0.007494859,0.007494859
14241.02104,-0.004646662,0.005,-0.005652873,0.010652873,0.010652873
14240.10154,-0.012514202,-0.005,-0.01522409,0.01022409,0.01022409
14238.84945,-0.001466876,0.0101,-0.001784521,0.011884521,0.011884521
14237.26539,-0.011104933,-0.0025,-0.013509651,0.011009651,0.011009651
14236.14698,-0.013279885,-0.0076,-0.016155578,0.008555578,0.008555578
14235.02918,0.013507969,0.0277,0.016433052,0.011266948,0.011266948
14234.28638,-0.001451119,0.0101,-0.001765352,0.011865352,0.011865352
14232.87044,-0.021888013,-0.0151,-0.026627753,0.011527753,0.011527753
14231.56288,-0.010863335,-0.0025,-0.013215736,0.010715736,0.010715736
14230.32247,-0.003265419,0.0076,-0.003972529,0.011572529,0.011572529
14228.29669,-0.011076691,-0.005,-0.013475293,0.008475293,0.008475293
14227.57489,-0.017264112,-0.0126,-0.021002569,0.008402569,0.008402569
14226.78665,-0.016356887,-0.0076,-0.019898889,0.012298889,0.012298889
14225.72148,-0.012896403,-0.005,-0.015689055,0.010689055,0.010689055
14225.24505,-0.019448445,-0.0151,-0.023659909,0.008559909,0.008559909
14224.72401,-0.010805326,-0.005,-0.013145165,0.008145165,0.008145165
14223.7485,0.008865713,0.0202,0.010785539,0.009414461,0.009414461
14222.80279,-0.010497401,0,-0.012770561,0.012770561,0.012770561
14222.04848,-0.01729712,-0.0101,-0.021042725,0.010942725,0.010942725
14221.43488,-0.01088586,-0.0025,-0.013243139,0.010743139,0.010743139
14221.15928,-0.023261788,-0.0176,-0.028299012,0.010699012,0.010699012
14220.3187,-0.012255475,-0.005,-0.014909337,0.009909337,0.009909337
14219.69789,-0.011321354,-0.005,-0.013772937,0.008772937,0.008772937
14218.87596,-0.007877264,0,-0.009583046,0.009583046,0.009583046
14217.52581,-0.027635403,-0.0227,-0.033619712,0.010919712,0.010919712
14216.96238,0.025062559,0.0378,0.030489731,0.007310269,0.007310269
14215.26567,-0.018727725,-0.0126,-0.02278312,0.01018312,0.01018312
14214.47094,-0.003818805,0.005,-0.004645748,0.009645748,0.009645748
